code,description,emergency,year
A00-A09,Intestinal infectious diseases,104974.0,2022-23
A15-A19,Tuberculosis,1346.0,2022-23
A20-A28,Certain zoonotic bacterial diseases,113.0,2022-23
A30-A49,Other bacterial diseases,113026.0,2022-23
A50-A64,Infections with a predominantly sexual mode of transmission,925.0,2022-23
A65-A69,Other spirochaetal diseases,193.0,2022-23
A70-A74,Other diseases caused by chlamydiae,53.0,2022-23
A75-A79,Rickettsioses,24.0,2022-23
A80-A89,Viral infections of the central nervous system,2772.0,2022-23
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,176.0,2022-23
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,12155.0,2022-23
B15-B19,Viral hepatitis,1843.0,2022-23
B20-B24,Human immunodeficiency virus [HIV] disease,703.0,2022-23
B25-B34,Other viral diseases,83090.0,2022-23
B35-B49,Mycoses,3258.0,2022-23
B50-B64,Protozoal diseases,1789.0,2022-23
B65-B83,Helminthiases,239.0,2022-23
B85-B89,"Pediculosis, acariasis and other infestations",274.0,2022-23
B95-B98,"Bacterial, viral and other infectious agents",8.0,2022-23
B99-B99,Other infectious and parasitic diseases,8482.0,2022-23
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2639.0,2022-23
C15-C26,Malignant neoplasm of digestive organs,28669.0,2022-23
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,13707.0,2022-23
C40-C41,Malignant neoplasm of bone and articular cartilage,709.0,2022-23
C43-C44,Malignant neoplasms of skin,1554.0,2022-23
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2229.0,2022-23
C50-C50,Malignant neoplasm of breast,4020.0,2022-23
C51-C58,Malignant neoplasms of female genital organs,5073.0,2022-23
C60-C63,Malignant neoplasms of male genital organs,4934.0,2022-23
C64-C68,Malignant neoplasms of urinary tract,5584.0,2022-23
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4601.0,2022-23
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,692.0,2022-23
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",28982.0,2022-23
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",20461.0,2022-23
C97-C97,Malignant neoplasms of independent (primary) multiple sites,712.0,2022-23
D00-D09,In situ neoplasms,186.0,2022-23
D10-D36,Benign neoplasms,9574.0,2022-23
D37-D48,Neoplasms of uncertain or unknown behaviour,6542.0,2022-23
D50-D53,Nutritional anaemias,42101.0,2022-23
D55-D59,Haemolytic anaemias,14086.0,2022-23
D60-D64,Aplastic and other anaemias,26804.0,2022-23
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",8632.0,2022-23
D70-D77,Other diseases of blood and blood-forming organs,6345.0,2022-23
D80-D89,Certain disorders involving the immune mechanism,1101.0,2022-23
E00-E07,Disorders of thyroid gland,4219.0,2022-23
E10-E14,Diabetes Mellitus,52975.0,2022-23
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,11716.0,2022-23
E20-E35,Disorders of other endocrine glands,5979.0,2022-23
E40-E46,Malnutrition,641.0,2022-23
E50-E64,Other nutritional deficiencies,2544.0,2022-23
E65-E68,Obesity and other hyperalimentation,651.0,2022-23
E70-E90,Metabolic disorders,82393.0,2022-23
F00-F09,"Organic, including symptomatic, mental disorders",32979.0,2022-23
F10-F19,Mental and behavioural disorders due to psychoactive subst.,36678.0,2022-23
F20-F29,"Schizophrenia, schizotypal and delusional disorders",10819.0,2022-23
F30-F39,Mood [affective] disorders,9749.0,2022-23
F40-F48,"Neurotic, stress-related and somatoform disorders",15220.0,2022-23
F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,3831.0,2022-23
F60-F69,Disorders of adult personality and behaviour,3571.0,2022-23
F70-F79,Mental retardation,130.0,2022-23
F80-F89,Disorders of psychological development,708.0,2022-23
F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,668.0,2022-23
F99-F99,Unspecified mental disorder,313.0,2022-23
G00-G09,Inflammatory diseases of the central nervous system,5703.0,2022-23
G10-G14,Systemic atrophies primarily affecting the central nervous system,1054.0,2022-23
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,5463.0,2022-23
G30-G32,Other degenerative diseases (incl. Alzheimer).,4591.0,2022-23
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,2717.0,2022-23
G40-G47,Episodic and paroxysmal disorders,74193.0,2022-23
G50-G59,"Nerve, nerve root and plexus disorders",7129.0,2022-23
G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,2868.0,2022-23
G70-G73,Diseases of myoneural junction and muscle,1439.0,2022-23
G80-G83,Cerebral palsy & other paralytic syndromes,4084.0,2022-23
G90-G99,Other diseases & disorders of the nervous syst.,13059.0,2022-23
H00-H06,"Disorders of eyelid, lacrimal system and orbit",6939.0,2022-23
H10-H13,Disorders of conjunctiva (including conjunctivitis),1895.0,2022-23
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",1617.0,2022-23
H25-H28,Disorders of lens (including cataracts),359.0,2022-23
H30-H36,Disorders of choroid and retina,7136.0,2022-23
H40-H42,Glaucoma,791.0,2022-23
H43-H45,Disorders of vitreous body and globe,1205.0,2022-23
H46-H48,Disorders of optic nerve and visual pathways,2632.0,2022-23
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",1416.0,2022-23
H53-H54,Visual disturbances and blindness,5543.0,2022-23
H55-H59,Other disorders of eye and adnexa,1978.0,2022-23
H60-H62,Diseases of external ear,9207.0,2022-23
H65-H75,Diseases of middle ear and mastoid,9914.0,2022-23
H80-H83,Diseases of inner ear,9421.0,2022-23
H90-H95,Other disorders of ear,3426.0,2022-23
I00-I02,Acute rheumatic fever,33.0,2022-23
I05-I09,Chronic rheumatic heart diseases,2469.0,2022-23
I10-I15,Hypertensive diseases,33700.0,2022-23
I20-I25,Ischaemic heart diseases,127356.0,2022-23
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,35066.0,2022-23
I30-I52,Other forms of heart disease,201873.0,2022-23
I60-I69,Cerebrovascular diseases,99036.0,2022-23
I70-I79,"Diseases of arteries, arterioles & capillaries",22633.0,2022-23
I80-I89,Diseases of veins & lymphatic system nec.,71792.0,2022-23
I95-I99,Other & unspecified disorders of the circulatory system,1503.0,2022-23
J00-J06,Acute upper respiratory infections,119706.0,2022-23
J09-J18,Influenza & pneumonia,261695.0,2022-23
J20-J22,Other acute lower respiratory infections,156188.0,2022-23
J30-J39,Other diseases of upper respiratory tract,19349.0,2022-23
J40-J47,Chronic lower respiratory diseases,169042.0,2022-23
J60-J70,Lung diseases due to external agents,27495.0,2022-23
J80-J84,Other respiratory diseases principally affecting the interstitium,9397.0,2022-23
J85-J86,Suppurative and necrotic conditions of lower respiratory tract,3326.0,2022-23
J90-J94,Other diseases of pleura,21355.0,2022-23
J95-J99,Other diseases of the respiratory system,15203.0,2022-23
K00-K14,"Diseases of oral cavity, salivary glands & jaws",19979.0,2022-23
K20-K31,"Diseases of oesophagus, stomach & duodenum",61575.0,2022-23
K35-K38,Diseases of appendix,43447.0,2022-23
K40-K46,Hernia,33215.0,2022-23
K50-K52,Noninfective enteritis & colitis,29568.0,2022-23
K55-K64,Other diseases of intestines,160540.0,2022-23
K65-K67,Diseases of peritoneum,5136.0,2022-23
K70-K77,Diseases of liver,29931.0,2022-23
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",122703.0,2022-23
K90-K93,Other diseases of the digestive system,59038.0,2022-23
L00-L08,Infections of the skin and subcutaneous tissue,139526.0,2022-23
L10-L14,Bullous disorders,698.0,2022-23
L20-L30,Dermatitis and eczema,8369.0,2022-23
L40-L45,Papulosquamous disorders (including Psoriasis),1189.0,2022-23
